Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
79,Shin Ultraman,"$32,126,536","$601,490",1.9%,"$31,525,046",98.1%,ja,"The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!",43.017,2022-05-13,7.1,103
80,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%,en,"In the 1930s, three friends—a doctor, a nurse, and an attorney—witness a murder, become suspects themselves and uncover one of the most outrageous plots in American history.",34.758,2022-09-27,6.1,1210
81,Mrs. Harris Goes to Paris,"$30,938,456","$10,433,915",33.7%,"$20,504,541",66.3%,en,A 1950s London cleaning lady falls in love with an haute couture dress by Christian Dior and decides to gamble everything for the sake of this folly.,23.373,2022-07-15,7.15,253
82,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%,ta,"Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved.",15.906,2022-06-02,7.622,90
83,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%,en,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",52.147,2022-04-20,6.792,1600
84,Tár,"$29,033,510","$6,773,650",23.3%,"$22,259,860",76.7%,-,-,-,-,-,-
85,Serial (Bad) Weddings 3,"$27,873,917",-,-,"$27,873,917",100%,fr,"Claude and Marie Verneuil will soon be celebrating their 40th wedding anniversary. For the occasion, their four daughters - Isabelle, Odile, Ségolène and Laure - decide to organize a big surprise party in their family home in Chinon. They also decide to invite, each, the parents of their respective husbands - Rachid Benassem, David Benichou, Chao Ling and Charles Koffi.",17.71,2021-12-21,6.38,291
86,The 355,"$27,827,745","$14,570,455",52.4%,"$13,257,290",47.6%,en,"A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",33.407,2022-01-05,6.114,884
87,The Night Owl,"$26,719,364",-,-,"$26,719,364",100%,ko,"A blind acupuncturist, who strangely, is able to see normally at night, and happens to witness the death of the crown prince.",17.709,2022-11-23,7.0,30
88,Triangle of Sadness,"$26,214,659","$4,608,096",17.6%,"$21,606,563",82.4%,en,"A celebrity model couple are invited on a luxury cruise for the uber-rich, helmed by an unhinged, alcoholic captain. What first appears Instagrammable ends catastrophically, leaving the survivors stranded on a desert island in a struggle of hierarchy.",57.589,2022-09-18,7.114,1714
89,Calendar Girls,"$25,433,615",-,-,"$25,433,615",100%,en,"Whether they’re performing at an animal rescue center benefit, a church fundraiser, or a shrimp parade, the Calendar Girls give it all they’ve got. And they have a lot to give — impressive makeup; handmade costumes; elaborate dance routines; and, most notably, their unparalleled enthusiasm and sparkling personalities. They are a group of hardworking senior volunteer dancers in Florida, determined to prove that age is just a number.",1.4,2022-08-12,8.5,4
